zip,geoid,state,res_ratio,tot_ratio
00680,7209767352,PR,0.053394,0.046519
00680,7209745551,PR,0.027144,0.02302
00681,7209752474,PR,1,1
00682,7209772899,PR,0.100211,0.094171
00682,7209774361,PR,0.083618,0.080635
00682,7209701820,PR,0.175315,0.16399
00682,7209771308,PR,0.000873,0.000777
00682,7209770792,PR,0.049924,0.045402
00682,7209752474,PR,0.323484,0.339378
00682,7209745250,PR,0.001019,0.000907
00682,7209731103,PR,0.125755,0.139184
00682,7209753420,PR,0.139509,0.133614
00682,7209752560,PR,0.000291,0.001943
00683,7212178747,PR,0.00589,0.005688
00683,7212502852,PR,0.019241,0.019726
00683,7212573673,PR,0.25375,0.241613
00683,7212573415,PR,0.051127,0.047228
00683,7202354409,PR,0.000785,0.000792
00683,7206745035,PR,0.008089,0.007487
00683,7212530802,PR,0.007932,0.007271
00683,7212550625,PR,0.003848,0.00504
00683,7209752474,PR,0.000157,0.000144
00683,7212569244,PR,0.389853,0.381713
00683,7212553248,PR,0.000785,0.000936
00683,7212576210,PR,0.204901,0.232973
00683,7212534844,PR,0.05364,0.049388
00685,7213161805,PR,0.041987,0.040675
00685,7213122804,PR,0.05976,0.057777
00685,7213135274,PR,0.002601,0.0026
00685,7213175049,PR,0.008112,0.007915
00685,7213131791,PR,0.029415,0.029004
00685,7213104486,PR,0.779725,0.760284
00685,7213177543,PR,0.063599,0.087474
00685,7213164213,PR,0.014801,0.014271
00687,7210183219,PR,0.00568,0.005412
00687,7210155226,PR,0.02627,0.025319
00687,7214516182,PR,0.001014,0.000966
00687,7210122374,PR,0.021605,0.020584
00687,7210129598,PR,0.070393,0.068902
00687,7210155183,PR,0.280049,0.282373
00687,7210154538,PR,0.067857,0.070545
00687,7210155140,PR,0.092504,0.103498
00687,7204717945,PR,0.000203,0.000193
00687,7210183993,PR,0.022315,0.02126
00687,7210105260,PR,0.412111,0.400947
00688,7201373759,PR,1,1
00690,7200511237,PR,0.000336,0.00032
00690,7200554108,PR,0.837983,0.845539
00690,7200500530,PR,0.010756,0.010233
00690,7200503626,PR,0.133782,0.127598
00690,7200516225,PR,0.017143,0.01631
00692,7214385240,PR,0.048441,0.062438
00692,7214351356,PR,0.02373,0.022354
00692,7214516182,PR,0.004009,0.003713
00692,7214373157,PR,0.603224,0.579071
00692,7214327534,PR,0.222077,0.239069
00692,7214502121,PR,0.002537,0.002349
00692,7214304830,PR,0.022011,0.020914
00692,7205134758,PR,0.000327,0.000303
00692,7210105260,PR,0.001309,0.001212
00692,7214312527,PR,0.072335,0.068576
00693,7214565503,PR,0.126063,0.121542
00693,7214373157,PR,0.00082,0.000757
00693,7214304830,PR,0.000359,0.000331
00693,7209182230,PR,0.001998,0.001844
00693,7214502164,PR,0.003176,0.002932
00693,7214570104,PR,0.055732,0.053441
00693,7214509775,PR,0.077349,0.093024
00693,7214502121,PR,0.002664,0.002459
00693,7214565933,PR,0.006301,0.005817
00693,7209121342,PR,0.000563,0.00052
00693,7214588379,PR,0.028327,0.027477
00693,7214516182,PR,0.072482,0.068669
00693,7214566019,PR,0.202387,0.194183
00693,7214501734,PR,0.387409,0.382218
00693,7214585369,PR,0.034371,0.044786
00694,7214501734,PR,1,1
00698,7205936220,PR,0,0.000056
00698,7215302035,PR,0.045221,0.044164
00698,7215305432,PR,0.365697,0.340267
00698,7215367739,PR,0.001028,0.000948
00698,7212181026,PR,0.000181,0.000335
00698,7215388078,PR,0.097515,0.126917
00698,7215323621,PR,0.001511,0.002231
00698,7215337037,PR,0.004051,0.003736
00698,7215381069,PR,0.04903,0.04606
00698,7215381155,PR,0.435766,0.435287
00703,7200704529,PR,0.298692,0.291056
00703,7200700917,PR,0.288286,0.308406
00703,7200755441,PR,0.018844,0.018426
