zip,geoid,state,res_ratio,tot_ratio
01778,14460,MA,1,1
01784,14460,MA,0,1
01801,14460,MA,1,1
01803,14460,MA,1,1
01805,14460,MA,0,1
01810,14460,MA,1,1
01812,14460,MA,0,1
01821,14460,MA,1,1
01822,14460,MA,1,1
01824,14460,MA,1,1
01826,14460,MA,1,1
01827,14460,MA,1,1
01830,14460,MA,1,1
01831,14460,MA,1,1
01832,14460,MA,1,1
01833,14460,MA,1,1
01834,14460,MA,1,1
01835,14460,MA,1,1
01840,14460,MA,1,1
01841,14460,MA,1,1
01842,14460,MA,1,1
01843,14460,MA,1,1
01844,14460,MA,1,1
01845,14460,MA,1,1
01850,14460,MA,1,1
01851,14460,MA,1,1
01852,14460,MA,1,1
01853,14460,MA,1,1
01854,14460,MA,1,1
01860,14460,MA,1,1
01862,14460,MA,1,1
01863,14460,MA,1,1
01864,14460,MA,1,1
01865,14460,MA,1,1
01866,14460,MA,0,1
01867,14460,MA,1,1
01876,14460,MA,1,1
01879,14460,MA,1,1
01880,14460,MA,1,1
01885,14460,MA,0,1
01886,14460,MA,1,1
01887,14460,MA,1,1
01888,14460,MA,1,1
01889,14460,MA,0,1
01890,14460,MA,1,1
01899,14460,MA,0,1
01901,14460,MA,1,1
01902,14460,MA,1,1
01903,14460,MA,1,1
01904,14460,MA,1,1
01905,14460,MA,1,1
01906,14460,MA,1,1
01907,14460,MA,1,1
01908,14460,MA,1,1
01910,14460,MA,0,1
01913,14460,MA,1,1
01915,14460,MA,1,1
01921,14460,MA,1,1
01922,14460,MA,1,1
01923,14460,MA,1,1
01929,14460,MA,1,1
01930,14460,MA,1,1
01931,14460,MA,1,1
01936,14460,MA,1,1
01937,14460,MA,1,1
01938,14460,MA,1,1
01940,14460,MA,1,1
01944,14460,MA,1,1
01945,14460,MA,1,1
01949,14460,MA,1,1
01950,14460,MA,1,1
01951,14460,MA,1,1
01952,14460,MA,1,1
01960,14460,MA,1,1
01961,14460,MA,1,1
01965,14460,MA,1,1
01966,14460,MA,1,1
01969,14460,MA,1,1
01970,14460,MA,1,1
01971,14460,MA,1,1
01982,14460,MA,1,1
01983,14460,MA,1,1
01984,14460,MA,1,1
01985,14460,MA,1,1
02018,14460,MA,1,1
02019,14460,MA,1,1
02020,14460,MA,1,1
02021,14460,MA,1,1
02025,14460,MA,1,1
02026,14460,MA,1,1
02027,14460,MA,1,1
02030,14460,MA,1,1
02032,14460,MA,1,1
02035,14460,MA,1,1
02038,14460,MA,1,1
02041,14460,MA,1,1
02043,14460,MA,1,1
02044,14460,MA,0,1
02045,14460,MA,1,1
02047,14460,MA,1,1
02048,14460,MA,0.000779,0.00077
02048,39300,MA,0.999221,0.99923
02050,14460,MA,1,1
02051,14460,MA,1,1
02052,14460,MA,1,1
02053,14460,MA,1,1
02054,14460,MA,1,1
02056,14460,MA,1,1
02059,14460,MA,0,1
02060,14460,MA,1,1
02061,14460,MA,1,1
02062,14460,MA,1,1
02065,14460,MA,1,1
02066,14460,MA,1,1
02067,14460,MA,1,1
02070,14460,MA,0,1
02071,14460,MA,1,1
02072,14460,MA,1,1
02081,14460,MA,1,1
02090,14460,MA,1,1
02093,14460,MA,1,1
02108,14460,MA,1,1
02109,14460,MA,1,1
02110,14460,MA,1,1
02111,14460,MA,1,1
02112,14460,MA,1,1
02113,14460,MA,1,1
02114,14460,MA,1,1
02115,14460,MA,1,1
02116,14460,MA,1,1
02117,14460,MA,1,1
02118,14460,MA,1,1
02119,14460,MA,1,1
02120,14460,MA,1,1
02121,14460,MA,1,1
02122,14460,MA,1,1
02123,14460,MA,1,1
02124,14460,MA,1,1
02125,14460,MA,1,1
02126,14460,MA,1,1
02127,14460,MA,1,1
02128,14460,MA,1,1
02129,14460,MA,1,1
02130,14460,MA,1,1
02131,14460,MA,1,1
02132,14460,MA,1,1
02133,14460,MA,0,1
02134,14460,MA,1,1
02135,14460,MA,1,1
02136,14460,MA,1,1
02137,14460,MA,1,1
02138,14460,MA,1,1
02139,14460,MA,1,1
02140,14460,MA,1,1
02141,14460,MA,1,1
02142,14460,MA,1,1
02143,14460,MA,1,1
02144,14460,MA,1,1
02145,14460,MA,1,1
02148,14460,MA,1,1
02149,14460,MA,1,1
02150,14460,MA,1,1
02151,14460,MA,1,1
02152,14460,MA,1,1
02155,14460,MA,1,1
02163,14460,MA,1,1
02169,14460,MA,1,1
02170,14460,MA,1,1
02171,14460,MA,1,1
02176,14460,MA,1,1
02180,14460,MA,1,1
02184,14460,MA,1,1
02185,14460,MA,1,1
02186,14460,MA,1,1
02188,14460,MA,1,1
02189,14460,MA,1,1
02190,14460,MA,1,1
02191,14460,MA,1,1
02196,14460,MA,1,1
02199,14460,MA,1,1
02201,14460,MA,0,1
02203,14460,MA,1,1
02205,14460,MA,1,1
02210,14460,MA,1,1
02215,14460,MA,1,1
02217,14460,MA,0,1
02222,14460,MA,0,1
02238,14460,MA,1,1
02269,14460,MA,1,1
02301,14460,MA,1,1
02302,14460,MA,1,1
02303,14460,MA,1,1
02304,14460,MA,1,1
02305,14460,MA,1,1
02322,14460,MA,1,1
02324,14460,MA,1,1
02325,14460,MA,0,1
02327,14460,MA,1,1
02330,14460,MA,1,1
02331,14460,MA,1,1
02332,14460,MA,1,1
02333,14460,MA,1,1
02334,39300,MA,1,1
02337,14460,MA,0,1
02338,14460,MA,1,1
02339,14460,MA,1,1
02341,14460,MA,1,1
02343,14460,MA,1,1
02344,14460,MA,0,1
02345,14460,MA,1,1
02346,14460,MA,1,1
02347,39300,MA,0.005227,0.005672
02347,14460,MA,0.994773,0.994328
02348,14460,MA,0,1
02349,14460,MA,0,1
02350,14460,MA,1,1
02351,14460,MA,1,1
02355,14460,MA,0,1
02356,39300,MA,0.998491,0.99865
02356,14460,MA,0.001509,0.00135
02357,39300,MA,0,1
02358,14460,MA,0,1
02359,14460,MA,1,1
02360,14460,MA,0.999808,0.999829
02360,12700,MA,0.000192,0.000171
