state,candidate,phase,positive_cents,net_cents,count
NE,C00901918,between_primary_runoff,203730,203730,12
NE,C00901918,post_runoff,58500,58500,3
NE,C00901918,pre_primary,241500,241500,11
NE,C00919084,between_primary_runoff,1134896,1134896,125
NE,C00919084,post_runoff,1296389,1296389,83
NE,C00919084,pre_primary,1340320,1340320,88
NH,C00369033,pre_primary,250000,250000,2
NH,C00901918,between_primary_runoff,35500,35500,3
NH,C00901918,post_runoff,20410,20410,2
NH,C00901918,pre_primary,32500,32500,4
NH,C00919084,between_primary_runoff,2930216,2930216,152
NH,C00919084,post_runoff,2476031,2476031,117
NH,C00919084,pre_primary,1519600,1519600,70
NJ,C00369033,between_primary_runoff,1903500,1903500,13
NJ,C00369033,pre_primary,2193343,2193343,55
NJ,C00901918,between_primary_runoff,459945,459945,65
NJ,C00901918,post_runoff,243123,243123,50
NJ,C00901918,pre_primary,1300400,1300400,38
NJ,C00919084,between_primary_runoff,9040068,9040068,721
NJ,C00919084,post_runoff,6953665,6953665,509
NJ,C00919084,pre_primary,6995259,6995259,599
NM,C00369033,between_primary_runoff,1923,1923,4
NM,C00369033,pre_primary,11075,11075,6
NM,C00901918,between_primary_runoff,131076,131076,14
NM,C00901918,post_runoff,723700,723700,9
NM,C00901918,pre_primary,223550,223550,15
NM,C00919084,between_primary_runoff,5613767,5613767,544
NM,C00919084,post_runoff,5196693,5196693,429
NM,C00919084,pre_primary,6888069,6888069,407
NV,C00369033,between_primary_runoff,170000,170000,4
NV,C00369033,pre_primary,1100000,1100000,10
NV,C00901918,between_primary_runoff,825524,825524,51
NV,C00901918,post_runoff,294585,294585,31
NV,C00901918,pre_primary,4309718,4309718,36
NV,C00919084,between_primary_runoff,3375856,3375856,190
NV,C00919084,post_runoff,2423838,2423838,160
NV,C00919084,pre_primary,2406653,2406653,116
NY,C00369033,between_primary_runoff,13340070,13340070,50
NY,C00369033,pre_primary,18219000,18169000,118
NY,C00901918,between_primary_runoff,1054054,1003029,77
NY,C00901918,post_runoff,1314214,1314214,64
NY,C00901918,pre_primary,3256397,3256397,47
NY,C00919084,between_primary_runoff,50512544,50512544,1987
NY,C00919084,post_runoff,26750998,26750998,1475
NY,C00919084,pre_primary,58186891,58186891,1512
OH,C00369033,between_primary_runoff,1045000,1045000,10
OH,C00369033,pre_primary,1050000,1050000,5
OH,C00901918,between_primary_runoff,995226,995226,17
OH,C00901918,post_runoff,469639,469639,17
OH,C00901918,pre_primary,755400,755400,17
OH,C00919084,between_primary_runoff,6526797,6526797,442
OH,C00919084,post_runoff,4234639,4234639,310
OH,C00919084,pre_primary,4936010,4936010,381
OK,C00369033,between_primary_runoff,561750,561750,9
OK,C00369033,pre_primary,1190000,1190000,13
OK,C00901918,between_primary_runoff,1146990,1146990,49
OK,C00901918,post_runoff,439442,439442,29
OK,C00901918,pre_primary,1127969,1127969,53
OK,C00919084,between_primary_runoff,4273601,4273601,356
OK,C00919084,post_runoff,2915452,2915452,263
OK,C00919084,pre_primary,2824419,2824419,248
OR,C00369033,between_primary_runoff,300000,300000,3
OR,C00901918,between_primary_runoff,336570,336570,35
OR,C00901918,post_runoff,192645,192645,15
OR,C00901918,pre_primary,770448,770448,49
OR,C00919084,between_primary_runoff,8141266,8141266,891
OR,C00919084,post_runoff,8212993,8212993,662
OR,C00919084,pre_primary,7712153,7712153,639
PA,C00369033,between_primary_runoff,742000,692000,11
PA,C00369033,pre_primary,998600,998600,58
PA,C00901918,between_primary_runoff,3469082,3119082,85
PA,C00901918,post_runoff,298638,298638,38
PA,C00901918,pre_primary,3083845,3028845,58
PA,C00919084,between_primary_runoff,9334848,9334848,793
PA,C00919084,post_runoff,7941746,7941746,603
PA,C00919084,pre_primary,9252209,9252209,705
PR,C00369033,between_primary_runoff,1400000,1400000,2
PR,C00901918,between_primary_runoff,104102,104102,1
PR,C00901918,pre_primary,350000,350000,1
PR,C00919084,between_primary_runoff,1400,1400,2
PR,C00919084,post_runoff,759227,759227,5
PR,C00919084,pre_primary,90000,90000,5
RI,C00369033,pre_primary,350000,350000,1
RI,C00901918,between_primary_runoff,35500,35500,6
RI,C00901918,post_runoff,22500,22500,3
RI,C00901918,pre_primary,100000,100000,6
RI,C00919084,between_primary_runoff,1805096,1805096,132
RI,C00919084,post_runoff,1397889,1397889,95
RI,C00919084,pre_primary,1620054,1620054,103
SC,C00369033,between_primary_runoff,150000,150000,3
SC,C00369033,pre_primary,1649300,1649300,41
