state,candidate,month,positive_cents,net_cents,count
CO,C00901918,2025-08,15705,15705,2
CO,C00901918,2025-09,26205,26205,3
CO,C00901918,2025-10,15205,15205,3
CO,C00901918,2025-11,10205,10205,2
CO,C00901918,2025-12,52321,52321,5
CO,C00901918,2026-01,38738,38738,5
CO,C00901918,2026-02,873307,873307,14
CO,C00901918,2026-03,175967,175967,14
CO,C00901918,2026-04,2188147,2188147,16
CO,C00901918,2026-05,313827,313827,22
CO,C00901918,2026-06,436829,436829,22
CO,C00919084,2025-09,2193500,2193500,69
CO,C00919084,2025-10,987600,987600,72
CO,C00919084,2025-11,631011,631011,71
CO,C00919084,2025-12,1043100,1043100,101
CO,C00919084,2026-01,3928466,3928466,222
CO,C00919084,2026-02,6140570,6140570,455
CO,C00919084,2026-03,8222145,8222145,416
CO,C00919084,2026-04,3618243,3618243,350
CO,C00919084,2026-05,9396126,9396126,659
CO,C00919084,2026-06,7937045,7937045,578
CT,C00369033,2025-01,2500,2500,1
CT,C00369033,2025-02,2500,2500,1
CT,C00369033,2025-03,2500,2500,1
CT,C00369033,2025-04,2500,2500,1
CT,C00369033,2025-05,2500,2500,1
CT,C00369033,2025-06,102500,102500,2
CT,C00369033,2025-07,2500,2500,1
CT,C00369033,2025-08,2500,2500,1
CT,C00369033,2025-09,2500,2500,1
CT,C00369033,2025-10,2500,2500,1
CT,C00369033,2025-11,2500,2500,1
CT,C00369033,2025-12,12500,12500,2
CT,C00369033,2026-01,702500,702500,3
CT,C00369033,2026-02,712500,712500,4
CT,C00369033,2026-03,650000,650000,3
CT,C00369033,2026-04,302500,302500,4
CT,C00369033,2026-05,102500,102500,3
CT,C00901918,2025-04,100000,100000,1
CT,C00901918,2025-06,2100000,2100000,2
CT,C00901918,2025-07,15615,15615,1
CT,C00901918,2025-08,26025,26025,2
CT,C00901918,2025-10,15205,15205,2
CT,C00901918,2025-11,7808,7808,2
CT,C00901918,2025-12,5205,5205,1
CT,C00901918,2026-01,10931,10931,2
CT,C00901918,2026-02,10205,10205,2
CT,C00901918,2026-03,70410,70410,6
CT,C00901918,2026-04,30615,30615,4
CT,C00901918,2026-05,434956,434956,15
CT,C00901918,2026-06,187272,187272,13
CT,C00919084,2025-07,8333,8333,1
CT,C00919084,2025-08,8333,8333,1
CT,C00919084,2025-09,2963333,2963333,29
CT,C00919084,2025-10,1636166,1636166,31
CT,C00919084,2025-11,261000,261000,26
CT,C00919084,2025-12,837000,837000,49
CT,C00919084,2026-01,756600,756600,77
CT,C00919084,2026-02,5556900,5556900,210
CT,C00919084,2026-03,5907450,5907450,190
CT,C00919084,2026-04,1545500,1545500,157
CT,C00919084,2026-05,3457600,3457600,292
CT,C00919084,2026-06,5064434,5064434,254
DC,C00369033,2025-03,300000,300000,4
DC,C00369033,2025-04,50000,50000,1
DC,C00369033,2025-06,100000,100000,1
DC,C00369033,2025-07,50000,50000,1
DC,C00369033,2025-11,125000,125000,2
DC,C00369033,2025-12,400000,400000,2
DC,C00369033,2026-01,350000,350000,1
DC,C00369033,2026-02,1665000,1665000,9
DC,C00369033,2026-03,1250000,1250000,13
DC,C00369033,2026-04,502051,502051,8
DC,C00369033,2026-05,764356,764356,7
DC,C00901918,2025-06,700000,700000,1
DC,C00901918,2025-09,25000,25000,1
DC,C00901918,2026-02,25000,25000,1
DC,C00901918,2026-03,26025,26025,1
DC,C00901918,2026-05,476025,476025,3
DC,C00901918,2026-06,100000,100000,1
DC,C00919084,2025-09,2907427,2907427,41
DC,C00919084,2025-10,3204500,3204500,63
DC,C00919084,2025-11,163000,163000,21
DC,C00919084,2025-12,1892250,1892250,54
DC,C00919084,2026-01,2668500,2668500,86
DC,C00919084,2026-02,3125251,3125251,196
DC,C00919084,2026-03,9629763,9629763,265
DC,C00919084,2026-04,921838,921838,104
DC,C00919084,2026-05,5283996,5283996,249
DC,C00919084,2026-06,5921078,5921078,235
DE,C00369033,2025-01,5000,5000,1
DE,C00369033,2025-02,5000,5000,1
DE,C00369033,2025-03,5000,5000,1
DE,C00369033,2025-04,5000,5000,1
DE,C00369033,2025-05,5000,5000,1
DE,C00369033,2025-06,5000,5000,1
DE,C00369033,2025-07,5000,5000,1
DE,C00369033,2025-08,5000,5000,1
DE,C00369033,2025-09,5000,5000,1
DE,C00369033,2025-10,5000,5000,1
DE,C00369033,2025-11,5000,5000,1
DE,C00369033,2025-12,5000,5000,1
DE,C00369033,2026-01,5000,5000,1
DE,C00369033,2026-02,57051,57051,2
DE,C00369033,2026-04,205000,205000,2
DE,C00369033,2026-05,55000,55000,2
DE,C00901918,2026-03,120820,120820,2
DE,C00901918,2026-04,12910,12910,2
DE,C00901918,2026-05,17697,17697,2
DE,C00901918,2026-06,17500,17500,2
DE,C00919084,2025-09,75000,75000,2
DE,C00919084,2025-10,56000,56000,3
DE,C00919084,2025-11,16000,16000,3
DE,C00919084,2025-12,76000,76000,5
DE,C00919084,2026-01,128000,128000,14
DE,C00919084,2026-02,467100,467100,27
DE,C00919084,2026-03,548000,548000,26
DE,C00919084,2026-04,139000,139000,23
DE,C00919084,2026-05,630500,630500,34
DE,C00919084,2026-06,459322,459322,36
FL,C00369033,2025-01,5000,5000,1
FL,C00369033,2025-02,5000,5000,1
FL,C00369033,2025-03,1764000,1764000,11
FL,C00369033,2025-04,138600,138600,4
FL,C00369033,2025-05,1406500,1406500,11
FL,C00369033,2025-06,1428100,1428100,12
FL,C00369033,2025-07,8950,8950,10
FL,C00369033,2025-08,107894,107894,8
FL,C00369033,2025-09,1168880,1168880,27
FL,C00369033,2025-10,718740,718740,19
FL,C00369033,2025-11,4606800,4606800,20
FL,C00369033,2025-12,3269200,3269200,16
FL,C00369033,2026-01,815975,815975,18
FL,C00369033,2026-02,1985431,1972431,25
